countryname,countrycode,ISO,region,income level,entity,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,4,South Asia,Low income,country,49.18793106,49.19907761,49.20926666,49.21860886,49.22717667,49.23450089,49.24050522,49.2460289,49.25209045,49.25908279,49.26719284,49.27535248,49.28125,49.28208923,49.27610397,49.26341629,49.24479294,49.21997833,49.18838501,49.14931107,49.10144424,49.04436111,48.97972107,48.9115448,48.84494781,48.78185654,48.72465897,48.68205643,48.66478729,48.677845,48.71868896,48.77625656,48.83827591,48.89631271,48.94782257,48.99683762,49.04495621,49.08652496,49.11323547,49.12028122,49.10477066,49.07287979,49.03858185,49.01810455,49.02044678,49.04754639,49.09326172,49.14823532,49.20011139,49.24066162,49.26818085,49.28588327,49.29668338
Albania,ALB,8,Europe & Central Asia,Upper middle income,country,48.74191666,48.73913956,48.73885345,48.73799515,48.73488998,48.72917175,48.72206497,48.71539307,48.71146011,48.71157455,48.71611404,48.72399139,48.73334122,48.74168777,48.74750137,48.75041199,48.75110626,48.7505455,48.74989319,48.74998856,48.75315475,48.75934982,48.76490784,48.76502991,48.75790024,48.74087143,48.71884155,48.7053833,48.7171936,48.76467896,48.85057068,48.97042465,49.11777878,49.28050232,49.44622421,49.61369705,49.78031158,49.9294548,50.04187775,50.10535812,50.111866,50.06658173,49.98791504,49.90353394,49.83489227,49.78850937,49.76059723,49.75046158,49.75410843,49.76808929,49.79392242,49.8325629,49.87891044
Algeria,DZA,12,Middle East & North Africa,Upper middle income,country,49.70582199,49.73249435,49.75930786,49.77965927,49.78948593,49.78823471,49.77865219,49.76409912,49.74886703,49.73575592,49.72521973,49.71632004,49.70858765,49.70123672,49.69367218,49.68597794,49.67825699,49.6700058,49.6606636,49.64988708,49.63810349,49.62555695,49.61170959,49.5958786,49.57791519,49.55732346,49.53504181,49.51380157,49.49695587,49.48643112,49.48292923,49.48498917,49.48980331,49.49371338,49.49436951,49.49098587,49.48460388,49.47694778,49.47044373,49.46663666,49.46618652,49.46819687,49.47081757,49.47153854,49.46881866,49.46210098,49.45254898,49.44238281,49.43451309,49.43083572,49.43183136,49.43664269,49.44410344
American Samoa,ASM,16,East Asia & Pacific,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,20,Europe & Central Asia,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,24,Sub-Saharan Africa,Upper middle income,country,50.98883057,50.98484039,50.98004532,50.9744873,50.96820068,50.9611702,50.95343399,50.94520569,50.93671799,50.92810059,50.91944122,50.91065598,50.9015007,50.89168549,50.88099289,50.86991882,50.85861206,50.84634399,50.83223724,50.8161087,50.79764557,50.7780304,50.76002502,50.74675369,50.7399025,50.73934555,50.74365616,50.751297,50.7602272,50.76877594,50.77672577,50.78372955,50.78802109,50.78770828,50.78173065,50.76985168,50.75281143,50.73183441,50.70864105,50.6846199,50.66028976,50.63576889,50.61148453,50.58773422,50.56468201,50.54244232,50.52116013,50.50094986,50.48192978,50.46413803,50.44760132,50.43222013,50.41780736
Antigua and Barbuda,ATG,28,Latin America & Caribbean,High income: nonOECD,country,53.06391525,53.01095581,52.84653473,52.66153717,52.51873398,52.42691422,52.36444092,52.32841492,52.30534744,52.28625107,52.27923584,52.28628922,52.28476334,52.24674225,52.15513992,51.99908447,51.79357147,51.57287216,51.38831711,51.27096176,51.23440933,51.26613617,51.34789276,51.44698715,51.53930283,51.62448883,51.70909119,51.77811813,51.80983353,51.79304123,51.70640182,51.5654068,51.43676376,51.4079628,51.52233505,51.80155182,52.1998558,52.62108231,52.94775009,53.10761261,53.08210373,52.91016006,52.6574707,52.41562271,52.24732208,52.16912079,52.15825272,52.19158936,52.23175049,52.25430679,52.25632858,52.24713424,52.23092738
Argentina,ARG,32,Latin America & Caribbean,Upper middle income,country,49.28249359,49.34723663,49.41369247,49.48028946,49.54586411,49.61164093,49.67804337,49.74239731,49.80121994,49.85283661,49.89392471,49.9271431,49.96336746,50.01662827,50.09507751,50.20275116,50.33271027,50.46900177,50.59047318,50.68303299,50.74235916,50.77462006,50.78924179,50.7996254,50.81498718,50.83739853,50.86362076,50.89102173,50.91541672,50.93412018,50.94694138,50.95568085,50.96196747,50.96801376,50.97534943,50.984272,50.99429703,51.00514603,51.01632309,51.02740479,51.03847885,51.04949951,51.05974579,51.06830978,51.07456589,51.07828522,51.07969666,51.07917023,51.07727051,51.07444,51.07076645,51.066226,51.06101045
Armenia,ARM,51,Europe & Central Asia,Lower middle income,country,51.66310883,51.58393097,51.51005173,51.44076538,51.37577438,51.31420135,51.25699615,51.2078476,51.17132187,51.14997101,51.1436348,51.14951324,51.16400146,51.18252563,51.20149231,51.2224617,51.24520874,51.26298904,51.2677002,51.25520706,51.22370911,51.17892075,51.13342285,51.10372543,51.10137558,51.12620163,51.17455673,51.24945831,51.35489273,51.49374008,51.66897583,51.87895584,52.11458206,52.35744095,52.5860405,52.79415894,52.97270203,53.09021378,53.11026382,53.00904083,52.77703094,52.42612076,51.98186493,51.48186111,50.95871735,50.41348267,49.85323715,49.32523727,48.89022064,48.59132767,48.45397568,48.46337975,48.57204577
Aruba,ABW,533,Latin America & Caribbean,High income: nonOECD,country,50.96238708,50.96752548,50.98506165,51.00563049,51.02336121,51.03444672,51.03963852,51.04735947,51.06430054,51.09624863,51.14573288,51.20720291,51.27077103,51.32259369,51.35273361,51.35585785,51.33518982,51.30103302,51.27046585,51.25465775,51.25893784,51.27803802,51.29412842,51.28837585,51.2470665,51.16691208,51.05361176,50.9193306,50.78483582,50.67258835,50.58879852,50.53564835,50.52691269,50.57236099,50.67599487,50.83718872,51.04450607,51.28213882,51.52127838,51.74227905,51.94092178,52.11853409,52.2661438,52.37487411,52.44074249,52.4595871,52.43679428,52.39086533,52.34672165,52.32339478,52.32704163,52.3529067,52.3928443
