countryname,countrycode,ISO,region,income level,entity,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,4,South Asia,Low income,country,48.30661473,48.39667887,48.48130926,48.56058639,48.63462486,48.70355955,48.76688875,48.82475937,48.87841174,48.92926962,48.9778931,49.02446117,49.06783332,49.10575276,49.13553618,49.15561958,49.16660828,49.16951321,49.16399995,49.14950593,49.12563472,49.0886112,49.03770829,48.97968458,48.92648988,48.88777763,48.87475239,48.88354419,48.891143,48.86531257,48.78973977,48.66183443,48.50744564,48.365418,48.2702579,48.23412961,48.25848025,48.32721623,48.41249862,48.4776993,48.49980763,48.47107519,48.40785944,48.3381442,48.29440188,48.29363571,48.34038719,48.42122962,48.51290907,48.58481868,48.6176717,48.60675076,48.56403832,48.50709036,48.45808898,48.43075023
Albania,ALB,8,Europe & Central Asia,Upper middle income,country,48.52034224,48.51838868,48.51905884,48.52085943,48.52201892,48.52153735,48.51883112,48.51460578,48.51062418,48.50920889,48.51167255,48.51869176,48.52926691,48.54108783,48.55124112,48.55797604,48.56074938,48.56086635,48.56062477,48.56302998,48.57001132,48.58753737,48.61563346,48.6445603,48.66142356,48.66093052,48.62694973,48.57061207,48.54125535,48.60042186,48.78372477,49.12454456,49.6017883,50.12639425,50.55555662,50.77646024,50.73129856,50.46217087,50.07103037,49.70536311,49.46692227,49.38828646,49.43469847,49.55728903,49.67916313,49.74569881,49.7399812,49.68442456,49.61021231,49.56742344,49.59276442,49.70010499,49.87129717,50.07340596,50.2597523,50.39767955
Algeria,DZA,12,Middle East & North Africa,Upper middle income,country,49.68187556,49.70333259,49.72936194,49.75535518,49.77502797,49.78448878,49.78335965,49.77419458,49.75971639,49.74344331,49.72775663,49.71301349,49.69868496,49.68499967,49.67203712,49.6598021,49.64822472,49.63717732,49.6264756,49.61587646,49.60506467,49.59477613,49.58469216,49.57251381,49.55546206,49.53223243,49.50214437,49.46717497,49.43167135,49.4009998,49.37843957,49.36536589,49.36003824,49.35887984,49.35713841,49.35196493,49.34221556,49.32992373,49.31919499,49.31549526,49.32233415,49.34042137,49.36773975,49.40159999,49.43820814,49.47461196,49.51030136,49.54530783,49.57799187,49.60661594,49.63012567,49.64784831,49.66037007,49.66948868,49.67763928,49.6865253
American Samoa,ASM,16,East Asia & Pacific,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,20,Europe & Central Asia,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,24,Sub-Saharan Africa,Upper middle income,country,50.98673002,50.98393285,50.98037745,50.97604876,50.97093899,50.9650175,50.95827319,50.95076483,50.94261645,50.9340122,50.92508787,50.91591723,50.90644657,50.896527,50.88597233,50.87463175,50.86300337,50.85123685,50.83859446,50.82422951,50.80792017,50.78936685,50.76972371,50.75173725,50.73853473,50.73176984,50.73133673,50.73578766,50.74356296,50.75262046,50.76126878,50.76930935,50.77637543,50.78069462,50.7803584,50.77430489,50.76230112,50.74510929,50.72399986,50.70073702,50.67671459,50.65241832,50.6279386,50.60371527,50.58004683,50.55710558,50.53501969,50.51388124,50.49371163,50.4745176,50.45629222,50.43906526,50.42281828,50.40744702,50.39282182,50.37884701
Antigua and Barbuda,ATG,28,Latin America & Caribbean,High income: nonOECD,country,52.94160677,53.06391351,53.01095701,52.84653465,52.66153846,52.51873334,52.42691308,52.36443986,52.32841585,52.30534778,52.28625189,52.27923664,52.28628822,52.28476431,52.24674095,52.15514129,51.99908286,51.79357191,51.57287116,51.388318,51.27096343,51.2344086,51.26613488,51.34789134,51.44698862,51.53930397,51.62448727,51.70909205,51.7781189,51.80983427,51.79304106,51.70640261,51.56540656,51.43676389,51.40796394,51.5223339,51.80155171,52.19985602,52.62108185,52.94775187,53.10761385,53.08210505,52.91015869,52.65747058,52.41562446,52.24732029,52.16912073,52.15825207,52.19097832,52.23174971,52.25430743,52.25632998,52.24825697,52.23203867,52.21452145,52.20000436
Argentina,ARG,32,Latin America & Caribbean,High income: nonOECD,country,49.21689261,49.27914413,49.34371906,49.40972891,49.47585685,49.54115821,49.6067031,49.6728901,49.73749717,49.797598,49.85180867,49.89717415,49.93595597,49.97767853,50.03465265,50.11401591,50.21933816,50.34445847,50.47514197,50.5924464,50.68371614,50.74498572,50.78170513,50.80227667,50.81866669,50.83908433,50.86543703,50.89478793,50.92454077,50.95065923,50.970576,50.98391211,50.99244992,50.99836088,51.00453399,51.01288425,51.02411843,51.03739427,51.05119595,51.06334978,51.07240101,51.07795824,51.08071132,51.08160057,51.08196288,51.08271601,51.08409897,51.08573819,51.08719608,51.08781932,51.08716702,51.08518141,51.08208,51.0780237,51.07325668,51.06796443
Armenia,ARM,51,Europe & Central Asia,Upper middle income,country,51.74783495,51.66310885,51.58393143,51.51005083,51.44076631,51.37577393,51.31420262,51.25699641,51.20784587,51.17132191,51.14997252,51.14363473,51.14951443,51.16400008,51.18252518,51.20149346,51.22246153,51.2452092,51.26298733,51.26770204,51.25520864,51.2237097,51.17892108,51.13342381,51.10372711,51.10137409,51.1261998,51.17455498,51.24945911,51.35489116,51.49373924,51.6689769,51.87895511,52.11458204,52.35744206,52.58603866,52.79415773,52.97270061,53.09021195,53.11026498,53.00903937,52.78970574,52.46715972,52.04678536,51.53755045,50.95871628,50.27641755,49.52081863,48.85394394,48.49560434,48.59132592,49.22540014,50.30911525,51.60437566,52.78452135,53.62344054
Aruba,ABW,533,Latin America & Caribbean,High income: nonOECD,country,50.97771547,50.96238838,50.96752392,50.98506094,51.00562872,51.02336123,51.03444691,51.03963893,51.04735805,51.0643008,51.09624989,51.14573169,51.2072048,51.27077143,51.32259397,51.35273267,51.35585667,51.33518868,51.30103484,51.27046584,51.25465921,51.25893638,51.2780386,51.29412899,51.28837676,51.2470648,51.16691144,51.05361041,50.91933134,50.78483419,50.67258802,50.58879965,50.53564886,50.52691109,50.57235984,50.67599532,50.83718973,51.04450712,51.28213942,51.52127994,51.74227916,51.94092191,52.11853255,52.26614441,52.37487594,52.44074337,52.45958544,52.43731352,52.39091393,52.34676974,52.32339538,52.32695024,52.35221158,52.39261181,52.43568798,52.47331286
